College Code,College Name,,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST,PickMyCareer Rank,Branch Code
1107,Sona College of Technology (Autonomous) Suramangalam Post Salem District 636005,,COMPUTER SCIENCE AND ENGINEERING,178,171.5,167.5,169,131,141,148.5,34,6
1108,University College of Engineering Panruti Chennai-Kumbakonam Highway Panikkankuppam Panruti Cuddalore District 607106,,COMPUTER SCIENCE AND ENGINEERING,157,131,134,145.5,130,128,111,35,6
1124,University College of Engineering Tiruchirappalli (Bharathidasan Institute of Technology) Tiruchirappalli District 620024,,COMPUTER SCIENCE AND ENGINEERING,179,169.5,173,165.5,152.5,130,115.5,36,6
1132,Chennai Institute of Technology (Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069,,COMPUTER SCIENCE AND ENGINEERING,195.5,193.5,194,192,177.5,153.5,162.5,37,6
1155,K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,,COMPUTER SCIENCE AND ENGINEERING,188,182.5,175,177.065,149.5,158,156.5,38,6
1186,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,,COMPUTER SCIENCE AND ENGINEERING,199,198.5,198,197.5,193.5,188,179.5,39,6
1268,Karpagam College of Engineering (Autonomous) Othakkalmandapam Coimbatore District 641032,,COMPUTER SCIENCE AND ENGINEERING,187,184,176,176.5,141.5,144.5,134,40,6
1276,Sri Sai Ram Enginering College (Autonomous) West Tambaram Chennai 600044,,COMPUTER SCIENCE AND ENGINEERING,185,179,177,176.5,149.5,128,141.5,41,6
1277,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,,COMPUTER SCIENCE AND ENGINEERING,196.5,195.5,194,195,184,186,168.5,42,6
1279,Kumaraguru College of Technology (Autonomous) Chinnavedampatti Post Coimbatore District 641006,,COMPUTER SCIENCE AND ENGINEERING,195,192.5,191,190.5,173.5,162.5,168,43,6
1283,Sri Krishna College of Enginering and Technology (Autonomous) Kuniamuthur Coimbatore District 641008,,COMPUTER SCIENCE AND ENGINEERING,192.5,190,188.5,187,157,152.5,135.5,44,6
1300,Sri Krishna College of Technology (Autonomous) Kovaipudur Post Coimbatore District 641042,,COMPUTER SCIENCE AND ENGINEERING,184.5,179.5,176,173.5,141,131.5,148.76,45,6
1320,Sri Ramakrishna Engineering College (Autonomous) Vattamalaipalayam Coimbatore District 641022,,COMPUTER SCIENCE AND ENGINEERING,183,175,175.5,172.5,142,119,144.5,46,6
1339,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,,COMPUTER SCIENCE AND ENGINEERING,167,147,132,159.5,135,110.5,125.5,47,6
1357,Dr. Mahalingam College of Engineering and Technology (Autonomous) Mackinaickenpatti Post Pollachi Taluk Coimbatore District 642003,,COMPUTER SCIENCE AND ENGINEERING,178.5,174,163,162,122,103,123.5,48,6
1362,SRM Valliammai Engineering College (Autonomous) Kattankulathur Chennai 603203,,COMPUTER SCIENCE AND ENGINEERING,180.5,171.5,168.5,170.5,145.5,132.5,114.5,49,6
1364,Sri Sivasubramaniya Nadar College of Engineering (Autonomous) Kalavakkam Old Mahabalipuram Road (OMR) Chengalpattu District 603110,,COMPUTER SCIENCE AND ENGINEERING,199,198.5,198,197,186,174,156.5,50,6
1379,Easwari Engineering College (Autonomous) Ramapuram Chennai 600089,,COMPUTER SCIENCE AND ENGINEERING,185,178,179.5,176,154,131,142.5,51,6
1381,Thiagarajar College of Engineering (Autonomous) Tirupparankundram Madurai District 625015,,COMPUTER SCIENCE AND ENGINEERING,198,196.5,195,194,187,178.43,159.5,52,6
1384,Karpagam Institute of Technology Seerapalayam Village L&T By pass Road Coimbatore District 641021,,COMPUTER SCIENCE AND ENGINEERING,172,166,170.5,157,130,130,154,53,6
1395,Government College of Engineering Tirunelveli District 627007,,COMPUTER SCIENCE AND ENGINEERING,192,187.5,190,185.495,173.5,142.5,108,54,6
1427,Sri Venkateswara College of Engineering (Autonomous) Post Bag No.1 Chennai-Bengaluru High Road Pennalur Irungattukottai S.O. Sriperumbudur Taluk Kancheepuram District 602105,,COMPUTER SCIENCE AND ENGINEERING,193.5,190.5,186.5,186,170.5,165,142.5,55,6
1428,Nehru Institute of Engineering and Technology Thirumalayampalayam Post Coimbatore District 641105,,COMPUTER SCIENCE AND ENGINEERING,161,147.5,150,142,139.5,115,123.5,56,6
1429,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,,COMPUTER SCIENCE AND ENGINEERING,163,142,149.5,142.5,142.5,117,123.5,57,6
1430,Anna University Regional Campus - Coimbatore Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam Coimbatore District 641046,,COMPUTER SCIENCE AND ENGINEERING,186,180,175.5,178,164.5,161,155,58,6
1468,Thiagarajar College of Engineering (Autonomous) Tirupparankundram Madurai District 625015,,COMPUTER SCIENCE AND ENGINEERING (SS),196,195,193,191.5,174.5,171.725,158,59,6
1513,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,,COMPUTER SCIENCE AND ENGINEERING (SS),199,198.5,196,197.5,187.5,179.5,176.5,60,6
1514,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199,198.5,199,196,178,192,61,6
1616,K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,,ELECTRICAL AND ELECTRONICS ENGINEERING,175.5,173,165,169,136,133.5,123,62,7
1744,Sri Eshwar College of Engineering (Autonomous) Kondampatti Post Vadasithur (Via) Kinathukadavu Coimbatore District 641202,,ELECTRICAL AND ELECTRONICS ENGINEERING,175,174.5,174.5,163,127.5,143.5,140,63,7
1784,Government College of Engineering Gandarvakottai Road Sengipatti Thanjavur District 613402,,ELECTRICAL AND ELECTRONICS ENGINEERING,150,139,139.5,140,123,127,116,64,7
1793,Coimbatore Institute of Technology (Autonomous) Civil Aerodrome Post Coimbatore District 641014,,ELECTRICAL AND ELECTRONICS ENGINEERING,193.5,191.5,190,191,175.5,167,141,65,7
1836,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,,ELECTRICAL AND ELECTRONICS ENGINEERING,192.5,190.5,187.705,187,176.5,184.5,154.5,66,7
1919,Kumaraguru College of Technology (Autonomous) Chinnavedampatti Post Coimbatore District 641006,,ELECTRICAL AND ELECTRONICS ENGINEERING,188.5,186,185.5,180.5,159,141.5,129,67,7
